Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Lasagne with meat sauce,Carbohydrates (g),2.9,3.43,1.04,0.47,37.08,24.61,0.49,80.17,112.65
Lasagne with vegetables,Carbohydrates (g),1.71,2.16,1.37,0.66,40.78,32.89,0.57,179.9,286.76
Home made egg noodles,Carbohydrates (g),6.55,4.37,1.03,1.6,177.24,15.96,1.15,0,30.08
Sour lentils (Khatti dal),Carbohydrates (g),2.22,0.12,1.25,1.22,115.6,8.29,0.85,1.88,22.49
Urad special dehusked,Carbohydrates (g),3.14,2.17,1.32,2.5,109.56,16.4,0.83,17.4,54.46
Arhar with spinach (Arhar dal aur palak),Carbohydrates (g),2.05,2.76,0.23,1.3,109.97,21.81,0.89,18.79,105.9
Moong dal with vadi,Carbohydrates (g),0.4,2.05,0.45,0.39,112.36,2.99,0.18,10.19,11.52
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),Carbohydrates (g),1.13,0.88,0.83,1.6,104.11,16.56,0.59,17.27,28.68
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),Carbohydrates (g),1.11,0.87,0.44,1.54,102.77,15.56,0.52,19.71,28.91
Green gram whole with baghar (Sabut moong dal with tadka),Carbohydrates (g),3.23,2.48,0.15,3.02,181.69,25.04,1,0.48,45.28
Urad sabut special,Carbohydrates (g),2.33,5.46,0.86,2.15,60.09,21.45,0.71,28.45,80.51
Kabuli channa curry,Carbohydrates (g),2.92,3.06,1.24,1.12,122.05,32.03,0.95,16.22,93.09
Besan gatte curry,Carbohydrates (g),7.75,10.72,4.5,3.25,356.27,151.08,1.89,13.39,135.02
Dry masala chops,Carbohydrates (g),9.08,9.54,2.27,0.86,83.47,112.25,1.39,1.87,15.19
Mutton korma,Carbohydrates (g),7.09,8.54,1.64,0.78,56.94,79.07,1.09,5.54,31.82
Shahi keema kofta curry,Carbohydrates (g),4.14,43.83,0.78,0.91,104.53,14.51,0.67,20.97,34.57
Minced meat ball curry,Carbohydrates (g),6.82,7.85,1.27,1.49,170.06,23.84,1.01,20.62,33.86
Boti kebab,Carbohydrates (g),9.22,9.27,2.09,0.76,78.14,98.67,1.41,4.52,6.58
Mutton seekh kebab,Carbohydrates (g),11.25,8.43,1.4,1.88,102.17,117.44,2.19,3.97,5.3
