Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Instant dhokla,Carbohydrates (g),7.66,9.37,6.86,3.57,763.98,66.58,1.05,2.7,22.87
Tomato ginger chutney (Tamatar adarak ki chutney),Carbohydrates (g),1.05,0.32,6.31,2.14,209.42,23.63,1.08,3.65,2.29
Mint tomato chutney (Pudinay aur tamatar ki chutney),Carbohydrates (g),1.53,0.36,5.48,2.63,183.98,47.59,2.06,4.07,4.94
Coriander chutney (Hare dhaniye ki chutney),Carbohydrates (g),1.38,0.37,5.5,2.47,186.64,39.8,1.63,4.24,3.57
Gooseberry chutney (Amla chutney),Carbohydrates (g),1.44,0.62,0.06,4.58,215.09,46.4,1.22,4.84,2.23
Walnut chutney (Akhrot ki chutney),Carbohydrates (g),9.44,33.46,4.4,3.04,160,119.57,1.77,1.33,4.63
Saunth/Sonth chutney with ginger,Carbohydrates (g),0.28,0.11,19.04,0.31,222.53,15.17,0.7,0,0.51
Gun powder chutney,Carbohydrates (g),21.55,2.67,1.16,13.95,195.67,68.87,5.14,0.02,14.27
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,Carbohydrates (g),12.88,15.88,10.41,13.16,321.07,73.55,5.44,0.15,10.69
Curd mint dip ,Carbohydrates (g),4.82,2.44,7.83,0.77,222.77,172.79,0.82,3.28,7.82
Curd vegetable dip,Carbohydrates (g),3.88,1.94,5.42,0.63,132.48,129.58,0.37,4.53,5.78
Mayonnaise vegetable dip,Carbohydrates (g),3.01,23.44,4.39,0.41,119.58,91.42,0.28,4.58,7.03
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),Carbohydrates (g),4.03,6.31,1.79,2.1,222.22,76.75,1.15,7.12,17.26
Tomato sandwich (grilled),Carbohydrates (g),6.26,9.39,2.58,1.91,420.6,150.9,0.88,8.91,16.85
French sandwich (toasted),Carbohydrates (g),6.82,11.51,1.82,1.37,274.68,100.73,1.24,6.66,29.24
Peanut butter cucumber sandwich,Carbohydrates (g),9.04,10.56,2.91,3.35,460.09,95.35,1.32,0.92,16.53
Mint and peanut sandwich,Carbohydrates (g),7.18,13.88,2.78,3.67,453.3,114.99,1.7,1.75,15.62
Spicy chutney sandwich,Carbohydrates (g),8.74,9.58,3.96,3.73,315.4,154.53,1.51,0.21,23.71
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),Carbohydrates (g),12.58,16.77,1.77,1.53,287.39,78.45,1.12,0,12.99
Rolled sandwich,Carbohydrates (g),6.45,15.29,2.7,2.07,321.57,117.68,1.23,0.91,5.61
Ribbon sandwich,Carbohydrates (g),6.26,13.37,4.66,2.92,382.11,157.85,1.05,4.55,10.44
Checker board sandwich,Carbohydrates (g),7.37,24.65,2.9,2.22,358.25,188.02,1.11,0.05,8.52
Submarine sandwich,Carbohydrates (g),6.09,15.32,2.5,1.24,254.28,72.35,1.23,21.43,36.34
Cheese open sandwich,Carbohydrates (g),9.84,14.24,3.24,1.74,504.41,256.25,1.22,0.6,12.93
Sunset and sunrise open sandwich,Carbohydrates (g),8.58,15.14,1.95,1.39,381.29,114.07,1.28,3.86,26.36
Danish luncheon sandwich,Carbohydrates (g),9.03,10.1,1.13,1.52,365.63,77.13,1.27,2.35,25.88
Chicken and corn open sandwich,Carbohydrates (g),8.63,8.83,2.48,1.67,226.72,65.13,0.8,2.12,14.16
Chocolate sponge cake,Carbohydrates (g),9.13,5.51,25,0.52,61.47,33.99,1.81,0,19.87
Chocolate swiss roll,Carbohydrates (g),6.01,19.76,18.83,0.29,44.53,42.79,1.08,0.19,8.91
Lemon curd filling,Carbohydrates (g),3.43,12.58,26.13,0,34.9,16.39,0.6,0.64,3.21
Jam filling,Carbohydrates (g),0,0,41.54,0,0,0,0,0,0
Chocolate pastry,Carbohydrates (g),7.05,10.12,22.34,0.32,46.54,50.7,1.44,0.25,17.22
Assorted pastry,Carbohydrates (g),6.78,8.91,19.7,0.43,49.99,47.2,0.94,0.25,15.61
Orange gateau,Carbohydrates (g),4.78,6.02,18.33,0.68,80.41,41.69,0.89,10.49,15.12
Black forest gateau,Carbohydrates (g),5.94,8.58,21.97,0.28,79.37,46.79,1.09,143.5,10.98
Lemon cake,Carbohydrates (g),5.29,20.63,25.84,0.62,151.29,32.77,0.91,2.44,9
Dundee cake,Carbohydrates (g),7.78,22.7,21.3,1.81,182.74,58.11,1.57,0.07,9.22
Victorian sandwich cake,Carbohydrates (g),5.18,19.83,28.18,0.59,145.28,36.25,0.86,0.08,8.66
Chocolate eggless cake,Carbohydrates (g),6.66,13.19,34.2,0.32,196.61,185.38,0.95,2.67,14.7
Orange eggless cake,Carbohydrates (g),7.16,13.82,37.87,0.56,226.28,205.84,0.52,3.47,13.72
Chocolate glace icing,Carbohydrates (g),3.22,20.8,59.88,0,8.66,26.75,2.04,0,1.52
Butter icing,Carbohydrates (g),0.19,25.37,71.64,0,5.98,12.48,0.14,0,0
Chocolate butter icing,Carbohydrates (g),3.21,24.77,59.82,0,4.99,31.87,1.85,0,1.22
Almond biscuit (Badam ke biscuit),Carbohydrates (g),6.25,19.7,22.19,1.5,151.76,44.05,1.11,0.03,2.28
Orange biscuit,Carbohydrates (g),3.63,11.01,42.63,0.75,259.14,20.35,0.77,1.36,5.1
Gingerman biscuit,Carbohydrates (g),6.26,12.73,21.64,2,918.57,41.35,1.59,3.65,4.91
Coffee drops,Carbohydrates (g),7.57,27.16,18.27,1.88,88.17,57.09,1.48,0.03,2.72
Christmas biscuit,Carbohydrates (g),5.67,15.88,26.01,2.17,127.36,29.07,1.2,0,2.42
Christmas wreath biscuit,Carbohydrates (g),5.43,15.01,24.89,2.28,120.2,29.71,1.21,2.28,2.53
Christmas bell biscuit,Carbohydrates (g),5.66,15.84,25.94,2.33,127.01,32,1.22,0,2.42
Christmas star biscuit,Carbohydrates (g),3.54,10.04,53.05,1.47,76.09,22.75,0.96,0.01,2.69
Christmas tree biscuit,Carbohydrates (g),5.43,15,24.77,2.65,120.45,35.04,1.18,1.61,2.58
Chocolate cream shells,Carbohydrates (g),5.1,19.34,34.72,0.9,126.84,28.53,1.08,0,2.42
Jelly biscuit,Carbohydrates (g),4.23,19.33,29.76,2.02,110.57,36.46,1.19,0.03,1.69
Cherry and walnut cookies,Carbohydrates (g),5.63,18.75,30.37,1.3,114.62,46.27,1.31,0,2.49
Cheese straws,Carbohydrates (g),9.83,24.28,1.79,1.29,587.42,160.64,1.29,0,2.35
Butterfly biscuit,Carbohydrates (g),9.98,22.11,2.44,1.02,572.05,202.49,1.09,0.03,2.63
Flan pastry,Carbohydrates (g),6.72,25.04,6.22,1.58,193.23,21.85,1.15,0,7.11
Fruit flan,Carbohydrates (g),3.3,12.48,9.52,0.71,110.04,19.28,0.61,3.3,33.99
Orange cream flan,Carbohydrates (g),4.73,13.59,25.27,0.63,82.41,27.9,0.93,43.79,76.78
Fruit puree tart,Carbohydrates (g),3.35,16.83,9.79,1.31,49.65,19.64,0.63,2.6,6.05
Apple banana pie,Carbohydrates (g),3.13,11.39,12.96,1.89,384.43,21.23,0.79,8.88,31.98
Lemon chiffon pie,Carbohydrates (g),4.88,14.52,11.39,0.66,94.95,34.43,0.61,7.18,51.7
Orange chiffon pie,Carbohydrates (g),3.89,11.16,10.46,0.7,73.23,30.34,0.62,84.88,91.24
Cream buns,Carbohydrates (g),4.45,15.81,5.95,0.31,45.49,45.27,0.5,0.33,9.28
Savoury puffs,Carbohydrates (g),9.51,15.24,4.51,0.33,2274.24,68.83,1.19,1.49,15.04
Choux swans,Carbohydrates (g),4.35,15.6,6.13,0.35,145.08,44.67,0.51,4.27,18.67
Potato aigrettes,Carbohydrates (g),2.35,54.24,0.73,0.45,112.45,9.2,0.45,1.16,3.35
Cream horns,Carbohydrates (g),3.42,33.55,7.12,0.6,57.11,30.93,0.44,0.5,8.8
Savoury cheese horns,Carbohydrates (g),5.66,20.71,2.74,0.73,212.28,121.83,0.63,2.31,8.51
Paneer patties,Carbohydrates (g),7.6,23.96,4.04,1.18,158.44,129.9,0.79,3.3,31.26
Vegetable patties ,Carbohydrates (g),4.01,17.74,1.49,2.62,139.52,18.96,0.87,13.92,22.85
Pearl millet infant food (Bajra shishu aahaar),Carbohydrates (g),11.98,6.62,26.06,7.84,12.67,118.52,5.67,0,24.14
Sajina,Carbohydrates (g),10.81,3.03,25.89,7.62,11.7,54.4,5.39,0,20.4
Cereal mix ,Carbohydrates (g),3.32,2.02,10.68,2.03,9.29,21.4,1.18,0.62,23.98
Pulse mix,Carbohydrates (g),3.16,0.54,6.59,2.25,3.88,14.93,1.29,0,24.23
Shishu ahar,Carbohydrates (g),2.61,1.43,6.61,1.02,2.68,13.78,1.02,0,17.34
Cereal pulse mix with amylase rice flour,Carbohydrates (g),4.27,2.74,8.84,3.47,1.03,12.61,1.19,0,18.71
Banana groundnut paste/puree,Carbohydrates (g),4.27,5.45,31.67,1.7,16.85,74.93,1.9,3.02,20.9
Rice dal porridge (Chawal dal ki khichdi/khichri),Carbohydrates (g),10.8,8.33,26.54,4.51,12.33,50.46,2.76,0,11.87
Lentils and semolina porridge (Dal suji porridge/daliya),Carbohydrates (g),3.26,1.06,13.84,1.44,9.64,44.74,1.22,0.8,21.48
Spinach khichri (Palak khichri/khichdi),Carbohydrates (g),3.43,1.91,0.21,1.56,69.59,10.43,0.65,3.03,28.15
Vegetable mix,Carbohydrates (g),4.7,0.94,27.36,1.93,34.94,90.06,2.27,8.48,36.84
Lentils and wheat porridge (Dal wheat porridge/daliya ),Carbohydrates (g),2.71,0.94,0.92,1.28,62.79,26.28,0.52,0.6,11.32
Maize porridge,Carbohydrates (g),2.14,1.89,7.69,1.68,5.59,17.02,1.11,3.03,23.98
Spinach peanut burfi (Palak aur mungfali ki burfi),Carbohydrates (g),3.36,4.39,11.5,2.07,19.52,40.95,1.61,30.28,164.72
Split bengal gram burfi/fudge (Channa dal burfi),Carbohydrates (g),4.65,7.09,43.38,2.06,2.53,16.44,0.62,0.6,24.28
Chickpea flour cookies (Sweet besan rounds/cookies),Carbohydrates (g),4.29,3.42,30.66,2.56,22.29,54.95,2.16,0.39,10
Pearl millet mathri (Bajra mathri),Carbohydrates (g),1.82,83.12,0.16,1.36,33.17,4.63,0.72,0,16.09
Sesame biscuit (Til ke biscuit),Carbohydrates (g),8.27,19.34,29.73,6.83,182.26,298.06,5.73,0,5.46
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),Carbohydrates (g),4.05,67.19,0.35,2.65,63.87,20.5,1.38,3.95,38.78
Poshtik namak paras,Carbohydrates (g),6.49,56.58,0.87,4.55,44.01,60.74,2.03,0.38,6.09
Soya chikki,Carbohydrates (g),7.18,15.51,45.47,3.55,17.24,81.25,4.47,0,36.21
Besan bathua chilla/cheela,Carbohydrates (g),11.48,18.57,1.45,7.79,166.36,64.75,2.68,2.05,24.35
Wheat flour and nuts ladoos (Atta nuts ladoos),Carbohydrates (g),9.46,19.19,15.94,7.3,8.07,127.29,4.01,0,13.1
Gram flour and semolina dhokla (Besan suji dhokla),Carbohydrates (g),8.52,7.1,2.58,4.59,196.59,66.66,1.6,6.55,76.09
Atta dal burfi ,Carbohydrates (g),6.66,12.47,21.08,4.08,3.56,17.07,1.56,0,9.07
Soya roti,Carbohydrates (g),9.18,9.23,1.58,8.71,155.93,53.42,3.85,4.04,35.91
Poshtik khichdi/khichri,Carbohydrates (g),3.04,1.88,0.26,2,41.67,30.41,1,25.77,65.43
Namkeen daliya,Carbohydrates (g),8.29,7.99,0.82,8.57,149.63,35.98,2.99,6.88,6.32
Sprouts upma ,Carbohydrates (g),9.5,10.44,1.67,7.16,147.82,36.78,2.76,0.48,26.63
Semolina idli (Suji/Rava idli),Carbohydrates (g),9.34,3.47,3.42,5.85,185.02,100.85,2.34,1.61,17.37
Poshtik chilla/cheela,Carbohydrates (g),4.85,3.04,1.22,4.91,97.18,18.18,2.1,0.58,11.79
Stuffed bittergourd (dry) (Bharwa karela),Carbohydrates (g),1.29,22.38,0.07,3,519.29,16.72,1.29,43.5,48.09
Cauliflower potato canjee,Carbohydrates (g),0.57,0.39,0.13,0.69,35.58,6.78,0.28,15.57,14.43
Creamed spinach,Carbohydrates (g),5.18,6.39,1.59,1.33,156.02,122.3,1.89,62.17,320.46
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),Carbohydrates (g),1.93,2.8,9.11,0.23,16.64,69.36,0.15,16.96,46.37
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),Carbohydrates (g),1.93,2.75,9.2,0.42,16.65,68.78,0.12,18.32,20.84
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),Carbohydrates (g),1.95,2.75,9,0.16,16.65,69.8,0.19,20.86,21.34
Woodapple juice (Bel ka sharbat),Carbohydrates (g),0.63,0.7,5.75,1.03,127.45,11.85,0.12,18.36,5.65
Sattu drink,Carbohydrates (g),0.56,0.14,3.96,0.4,12.65,1.59,0.17,0,25.48
Apple and honey sorbet (Seb aur shehad ka sharbat),Carbohydrates (g),0.15,0.29,29.18,1.13,1.97,9.11,0.18,5.08,2.68
Thandai,Carbohydrates (g),3.59,5.89,8.21,0.8,22.69,112.31,0.6,3.66,18.19
Cucumber sharbat (Kheere ka sharbat),Carbohydrates (g),0.26,0.06,5.46,0.78,2.57,6.49,0.18,9.16,25.26
Apple oats chia seed smoothie,Carbohydrates (g),3.49,2.48,5.76,1.44,32.02,88.89,0.5,5.39,71.4
Nannari sharbat,Carbohydrates (g),0.01,0.01,23.58,0,1.16,2.67,0.05,9.92,2.29
Semolina milk drink (Thari kanji),Carbohydrates (g),0.98,1.36,3.88,0.72,11.95,8.26,0.36,6.58,11.86
Saffron milk (Kesariya doodh),Carbohydrates (g),3.17,4.57,12.5,0.14,23.69,110.88,0.21,4.84,17.96
Black rice kheer (Chak-hao kheer),Carbohydrates (g),4.37,4.91,12.57,0.76,25.77,94.89,0.46,3.22,11.25
Coconut kheer (Nariyal ki kheer),Carbohydrates (g),3.4,10.55,13.73,1.53,45.97,89.52,0.53,12.21,49.34
Apple sago payasam (Seb aur sabudana ki kheer),Carbohydrates (g),3.13,7.66,10.63,0.38,39.45,102.11,0.31,5.88,21.45
Kesari bath,Carbohydrates (g),2.4,12.59,20.16,1.65,1.7,7.7,0.69,0,8.55
Putharekulu,Carbohydrates (g),3.66,7.55,23.86,1.75,2.67,6.11,0.38,0,2.44
Mango malpua,Carbohydrates (g),1.65,30.67,4.96,2.08,1.89,10.64,0.7,38.05,110.67
Mango vanilla custard,Carbohydrates (g),3.43,7.04,14.62,0.99,30.12,84.86,0.58,16.05,49.19
Kiwi granola pudding,Carbohydrates (g),5.6,15.36,15.08,3.71,59.21,62.2,1.45,65.34,207.15
Oats burfi,Carbohydrates (g),8.89,17.27,32.93,4.96,8.15,128.58,2.46,0.06,17.81
Lotus seed halwa (Kamal gattay ka halwa),Carbohydrates (g),7.79,20.69,9.8,0.42,3.06,82.84,1.8,0.06,179.08
Amaranth ladoo (Rajgira ladoo),Carbohydrates (g),10.12,22.7,19.92,5.11,7.51,144.58,6.47,0.03,9.52
Chhena poda,Carbohydrates (g),13.68,17.94,30.65,1.4,13,295.29,1.41,0.09,42.67
Sweet couscous dessert,Carbohydrates (g),3.81,7.69,15.89,2.18,4.22,30.94,0.84,34.1,29.16
Sweetened yogurt (Shrikhand),Carbohydrates (g),5.27,2.89,15.81,0.08,73.61,183.02,0.17,2.79,50.44
Thickened sweetened milk (Rabri),Carbohydrates (g),3.52,5.35,10.09,0.19,23.92,111.87,0.29,4.09,16.31
Gram flour halwa (Besan halwa),Carbohydrates (g),5.88,17.3,15.83,1.82,15.4,77.42,0.67,1.66,51.61
Prawn sandwich,Carbohydrates (g),10.36,9.27,1.21,1.55,213.38,75.53,1.11,12.57,50.99
Watercress sandwich,Carbohydrates (g),5.17,11.47,1.81,2.26,407.44,98.16,0.99,2.23,12.14
Fish sandwich ,Carbohydrates (g),4.72,10.37,1.04,1.23,161.88,47.28,0.69,3.89,39.29
Kidney bean sandwich with cottage cheese,Carbohydrates (g),9.85,6.84,3.69,3.66,97.97,166.63,1.64,5.33,213.8
Finger millet biscuit (Ragi biscuit),Carbohydrates (g),4.03,25.79,16.9,5.97,98.24,207.04,2.54,0,13.87
Buttermilk biscuit,Carbohydrates (g),5.76,17.5,3.44,1.18,323.74,67.16,0.77,0,11.23
Lemon cookies,Carbohydrates (g),5.63,23.02,23.47,0.78,84.71,72.04,0.69,1.5,10.76
Sweet potato biscuit (Shakarkand ke biscuit),Carbohydrates (g),5.14,13.31,2.53,2.27,339.58,56.34,0.81,7.95,17.7
Raspberry shortbread cookies,Carbohydrates (g),3,21.25,40.86,0.75,6.06,13.81,0.6,0.01,1.66
Pumpkin cookies ,Carbohydrates (g),2.51,3.93,31.62,1.06,51.49,19.36,0.52,1.26,7.8
Greenpea cookies,Carbohydrates (g),6.53,4.24,14.45,5.32,229.9,48.45,1.47,16.8,28.24
Sunflower cookies,Carbohydrates (g),9.49,36.28,24.28,3.95,181.68,70.45,2.21,0,51.65
Cardamom cookies (Elaichi cookies),Carbohydrates (g),5.1,19.12,38.99,2.79,98.45,25.21,1.41,0,34.95
Hazelnut cookies,Carbohydrates (g),6.25,34.97,22.01,2.45,81.06,47.43,1.29,0,19.45
Milk cookies,Carbohydrates (g),10.49,24.96,22.06,0.99,156.53,251.59,0.75,2.03,19.54
Cranberry cookies,Carbohydrates (g),3.92,12.66,19.96,1.13,58.25,36.16,0.71,5.52,17.21
Olive biscuit,Carbohydrates (g),3.2,23.75,32.27,0.82,120.1,10.76,1.37,0,2.28
Tutti fruitti biscuit,Carbohydrates (g),5.21,17.9,15.75,5.43,93.11,23.81,1.96,0,15.19
Peach blueberry preserves,Carbohydrates (g),0.53,0.2,45.33,1.14,2.81,9.03,0.33,16.56,16.68
Pear preserves (Naashpati ka murabba),Carbohydrates (g),0.25,0.19,25.19,3.06,2.1,6.57,0.23,15.65,21.93
Starfruit preserves ,Carbohydrates (g),0.24,0.12,33.47,0.78,2.06,5.24,0.2,17.65,4.32
Gooseberry pickle (Amla ka achaar),Carbohydrates (g),1.55,27.61,0.36,3.7,86.38,31.17,1.04,4.85,2.09
Lotus stem pickle (Kamal kakdi ka achar),Carbohydrates (g),1.44,1.6,2.53,8.58,181.83,137.73,20.57,12.35,1.91
Date pickle (Khajoor ka achaar),Carbohydrates (g),1.68,4.21,30.47,5.2,138.86,41.49,1.96,3.46,15.77
Garlic pickle (Lahasun ka achar),Carbohydrates (g),3.72,39.88,2.32,5.13,269.12,54.66,1.82,7.33,15.98
Fermented bamboo shoot pickle (Mesu pickle),Carbohydrates (g),1.58,5.59,0.29,2.24,161.31,16.62,0.69,19.87,23.14
Sweet peach pickle (Aadoo ka achaar),Carbohydrates (g),0.46,0.2,36.46,1.32,33.04,11.99,0.33,7.36,8.5
Pickled mustard greens ,Carbohydrates (g),1.51,0.22,0.02,1.7,242.36,81.44,1.22,301.6,550.52
Small onion pickle ,Carbohydrates (g),1.65,0.64,2.99,1.09,249.48,31.95,1.2,19.37,16.9
Green tomato pickle (Haray tamatar ka achaar),Carbohydrates (g),1.23,19.67,0.77,1.74,159.18,14.22,0.77,8.21,7.15
Pickled cabbage ,Carbohydrates (g),0.39,0.14,2.08,0.61,121.39,15.96,0.19,16.63,23.56
Coconut pickle (Nariyal ka aachar),Carbohydrates (g),3.02,51.71,8.98,6.35,176.54,44.78,2.62,1.71,5.56
Potato pickle (Aloo ka achaar),Carbohydrates (g),2.07,36.46,0.82,2.21,213.73,48.46,1.12,10.14,8.16
Mango murabba candy,Carbohydrates (g),0.27,0.05,74.73,0.95,13.71,16.55,0.33,19.85,5.7
Afghani chicken,Carbohydrates (g),15.66,9.07,0.83,0.31,87.02,35.14,1.04,3.54,20.52
Fish orly,Carbohydrates (g),5.87,58.18,0.24,0.33,136.37,9.55,0.31,1.35,12.83
Hariyali Fish Tikka,Carbohydrates (g),14.01,9.41,0.83,0.99,100.45,34.86,0.83,11.11,26.78
Chicken manchurian,Carbohydrates (g),9.53,11.96,0.9,0.41,2414.77,26.52,1.28,10.37,45.99
Handi chicken,Carbohydrates (g),12.32,12.46,0.75,0.67,75.64,26.85,0.93,1.47,20.46
Lemon chicken,Carbohydrates (g),20.2,9.66,0.16,0.16,79.93,17.4,0.95,8.94,31.21
Lemon butter fish,Carbohydrates (g),16.38,10.26,0.23,0.36,187.72,18.66,0.4,8.7,19.1
Baked eggs in tomato sauce,Carbohydrates (g),4.92,5.22,2.03,0.01,188.21,71.94,1.31,245.7,317.88
Egg in a pepper,Carbohydrates (g),12.64,8.68,0.05,0.17,183.89,48.25,1.76,33.6,290.24
Spinach mushroom scrambled egg (Palak mushroom bhurji),Carbohydrates (g),13.28,11.51,0.1,0.39,227.97,140.31,1.6,2.27,54.24
Corn omelette/omlet,Carbohydrates (g),11.37,12.89,0.41,0.02,166.42,96.22,1.34,2.9,81.65
Cajun chicken,Carbohydrates (g),12.69,13.99,1.1,0.89,1740.13,156.98,0.53,45.44,44.55
Paaner do pyaza,Carbohydrates (g),4.22,10.87,2.2,0.84,160.66,57.22,0.45,16.81,35.64
Cabbage manchurian (Pattagobhi manchurian),Carbohydrates (g),0.64,22.48,0.33,0.37,75.02,3.18,0.2,28.39,30.24
Gobi 65,Carbohydrates (g),0.56,29.11,0.29,0.57,69.22,12.37,0.3,27.52,37.66
Paneer lababdar,Carbohydrates (g),3.98,8.46,1.96,1.16,142.45,55.56,0.56,27.48,56.6
Roasted cauliflower steak,Carbohydrates (g),2.05,6.7,0.44,3.53,120.19,24.47,0.95,47.14,46
Sauteed radishes with green beans,Carbohydrates (g),2.41,6.61,1.78,3.52,65.1,40.2,1.01,6.55,45.89
Garlic chutney/Poondu chutney (Lahasun ki chutney),Carbohydrates (g),3.34,17.55,13.36,5.15,177.62,63.51,3.26,5.7,16.82
Schezwan chutney,Carbohydrates (g),3.33,17.72,5.66,5.72,486.27,35.46,1.96,26.36,159.08
Onion chutney (Pyaaz ki chutney/Vengaya chutney),Carbohydrates (g),2.97,8.38,6.8,4.6,256.89,28.5,1.19,2.83,17.03
Dates chutney (Khajoor ki chutney),Carbohydrates (g),1.07,1.12,18.68,3.41,76.77,28.72,1.19,3.41,17.27
Chicken salad,Carbohydrates (g),15.33,30.26,0.96,2,50.62,43.19,1.23,4.92,35.5
Macaroni salad,Carbohydrates (g),5.02,17.78,3.73,0.56,163.99,35.7,0.77,22.15,34.69
Cabbage raita (Pattagobhi raita),Carbohydrates (g),3.24,5.76,4.21,0.93,125.31,118.49,0.19,28.29,53.73
Pomegranate raita (Anaar ka raita),Carbohydrates (g),4.05,3.24,7.01,0.6,195.18,138.31,0.25,4.6,23.86
Onion raita (Pyaaz ka raita),Carbohydrates (g),4.86,2.43,7.07,0.65,189.96,163.8,0.3,8.44,32.13
Green chilli raita (Hari mirch ka raita),Carbohydrates (g),5.58,2.92,7.49,0.26,161.31,193.58,0.21,4.3,18.82
Kale salad,Carbohydrates (g),4.86,15.33,3.31,1.36,292.04,109.11,1.3,30.49,35.39
Spinach and paneer souffle ,Carbohydrates (g),7.56,13.49,2.81,1.07,434.68,114.32,1.4,10.82,133.95
Masala souffle ,Carbohydrates (g),6.38,7.37,1.84,1.24,131.14,103.68,0.74,382.64,363.81
Chicken and cheese souffle,Carbohydrates (g),9.07,14.74,2.46,0.26,120.93,61.71,0.63,2.4,28.77
Tamarind chutney (Chintapandu pachadi/Puli chutney),Carbohydrates (g),0.88,0.48,22.85,1.65,75.61,40.3,1.95,0.03,0.18
Pav bhaji masala,Carbohydrates (g),9.13,10.96,1.48,24.3,1814.66,588.91,12.84,0.06,0.21
Green chutney,Carbohydrates (g),5.42,1.6,0.92,5.84,262.81,112.74,4.58,7.35,15.53
Sago khitchdi/khichri (Sabudana khitchdi/khichri),Carbohydrates (g),2.72,10.1,1.03,1.82,100.26,15.13,0.86,13.41,34.18
Gram flour chilla/cheela (Besan chilla/cheela),Carbohydrates (g),7.8,2.85,1.87,4.25,135.57,28.38,2.19,1.73,34.69
Vegetable namkeen jave,Carbohydrates (g),2.93,2.51,1.04,2.86,32.13,10.32,1.07,12.45,26.26
Khakhra,Carbohydrates (g),4.78,5.32,0.88,5.43,184.16,21.27,2.14,0.56,10.5
Moong bean dosa (Pesarattu),Carbohydrates (g),12.32,11.67,2.9,6.04,61.36,36.44,3.38,1.48,14.32
Methi thepla,Carbohydrates (g),8.98,15.95,2.98,7.56,543.27,73.51,4.52,1.06,15.26
Rice puttu (Ari puttu),Carbohydrates (g),1.26,3.13,0.33,0.76,48.28,4.96,0.42,0,4.85
Buckwheat pancake (Khura),Carbohydrates (g),2.91,16.43,0.64,0.56,69.97,11.32,0.69,0.66,3.38
Quinoa khichdi/khichri,Carbohydrates (g),3.18,1.59,0.69,2.58,69.64,24.59,1.12,9.13,82.57
Khakhra chaat,Carbohydrates (g),4.52,30.65,3.26,3.04,102.78,24.49,1.26,46.67,312.97
Banana appam,Carbohydrates (g),1.17,42.53,9.95,0.67,20.14,13.74,0.77,4.03,13.79
Veg manchurian,Carbohydrates (g),0.89,61.65,0.76,1.16,65.31,16.79,0.31,15.1,26.53
Pav bhaji,Carbohydrates (g),2.66,4.32,2.06,1.98,163.89,24.86,0.97,76.48,170.49
Rice murukku,Carbohydrates (g),5.41,48.22,0.17,2.18,63.31,24.63,1.7,0,8.2
Bhel puri ,Carbohydrates (g),3.52,47.91,3.41,2.24,93.98,24.22,1.29,31.61,157.03
Semolina dhokla (Suji/Rava dhokla),Carbohydrates (g),5.44,5.2,1.85,5.12,443.39,31.17,2.52,3.66,15.26
Spicy corn chaat ,Carbohydrates (g),4.61,46.55,0.95,2.17,86.5,17.28,0.84,14.1,227.37
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),Carbohydrates (g),2.34,54.41,11.48,1.5,46.39,24.62,1.15,0.32,2.47
Banana chips (Kele ke chips),Carbohydrates (g),0.37,70.46,4.37,0.65,86.87,2.01,0.19,4.03,8.97
Wheat cake,Carbohydrates (g),4.79,14.95,25.79,2.76,82.96,98.91,1.08,0.76,7.6
Mango cheesecake,Carbohydrates (g),2.39,7.3,15.36,1.14,107.12,55.1,0.53,24.93,68.68
Carrot cake (Gajar ka cake),Carbohydrates (g),5.6,10.27,23.96,2.93,158.74,156.1,1.03,3.12,17.06
Semolina cake (Suji/Rava cake),Carbohydrates (g),6.58,25.18,18.86,5.37,91.36,128.28,1.36,0.94,9.42
Finger millet cake (Ragi cake),Carbohydrates (g),3.96,12.27,24.76,2.35,98.26,118.38,1.35,0.76,11.41
Honey cake,Carbohydrates (g),3.08,14.7,33.43,0.51,72.55,50.86,0.46,0.53,10.06
Almond cardamom cake (Badam elaichi cake),Carbohydrates (g),7.18,21.36,18.06,2.35,155.37,81.29,1.29,0.37,10.86
Tutti frutti cake,Carbohydrates (g),4.49,12.68,28.08,0.85,106.36,61.41,0.62,1.9,76.45
Ham and Bean soup,Carbohydrates (g),10.61,4.15,1.43,0.54,378.14,20.52,0.88,22.31,103.7
Whey soup,Carbohydrates (g),3.45,3.34,5.87,0.84,87.08,164.92,0.55,2.55,33.72
Bottle gourd soup (Ghiya/Lauki soup),Carbohydrates (g),0.45,1.79,0.39,0.96,53.81,15.14,0.26,6,52.73
Baked potato soup,Carbohydrates (g),5.73,11.21,3.44,0.3,268.69,106.56,0.27,18.93,42.67
Pumpkin soup,Carbohydrates (g),0.47,3.2,1.47,1.19,45.5,12.17,0.19,11.5,35.73
Sweet corn soup,Carbohydrates (g),0.99,1.63,0.9,0.31,22.35,3.72,0.41,10.33,50.13
